english	mandarin
BCA SkyLab	建设局天穹实验室
BCA-MSF Universal Design Mark for Family-friendly Businesses	建设局-社会及家庭发展部 通用设计标志 (亲家庭企业)
BEACH ROAD	美芝路
BEACH VIEW	美芝景
Beacon of Life	生命之光
BEATTY LANE	美智巷
BEATTY ROAD	美智路
BEAULIEU ROAD	柏友里路
Beauty World MRT Station	美世界地铁站
BEDFORD ROAD	培福路
BEDOK AVENUE	勿洛道
Bedok Camp	勿洛军营
BEDOK CENTRAL	勿洛中路
BEDOK CLOSE	勿洛弄
Bedok Community Centre	勿洛民众联络所
BEDOK GARDEN	勿洛花园
BEDOK INDUSTRIAL PARK C	勿洛C工业园
BEDOK INDUSTRIAL PARK E	勿洛E工业园
BEDOK JUNCTION	勿洛交叉路
BEDOK LANE	勿洛巷
Bedok Lighthouse	勿洛灯塔
Bedok MRT Station	勿洛地铁站
BEDOK NORTH AVENUE 1	勿洛北1道
BEDOK NORTH AVENUE 2	勿洛北2道
BEDOK NORTH AVENUE 3	勿洛北3道
BEDOK NORTH AVENUE 4	勿洛北4道
BEDOK NORTH DRIVE	勿洛北通道
BEDOK NORTH FLYOVER	勿洛北立交桥
Bedok North MRT Station	勿洛北地铁站
BEDOK NORTH ROAD	勿洛北路
BEDOK NORTH STREET 1	勿洛北1街
BEDOK NORTH STREET 2	勿洛北2街
BEDOK NORTH STREET 3	勿洛北3街
BEDOK NORTH STREET 4	勿洛北4街
BEDOK NORTH STREET 5	勿洛北5街
BEDOK PLACE	勿洛坊
Bedok Public Library (BEPL)	勿洛公共图书馆
BEDOK RESERVOIR CRESCENT	勿洛水池弯
BEDOK RESERVOIR FLYOVER	勿洛水池立交桥
Bedok Reservoir MRT Station	勿洛蓄水池地铁站
BEDOK RESERVOIR ROAD	勿洛蓄水池路
BEDOK RESERVOIR VIEW	勿洛水池景
BEDOK RIA CRESCENT	勿洛丽雅弯
BEDOK RIA DRIVE	勿洛丽雅通道
BEDOK RIA PLACE	勿洛丽雅坊
BEDOK RIA TERRACE	勿洛丽雅台
BEDOK RIA WALK	勿洛丽雅径
BEDOK RISE	勿洛坡
BEDOK ROAD	勿洛路
BEDOK SOUTH AVENUE 1	勿洛南1道
BEDOK SOUTH AVENUE 2	勿洛南2道
BEDOK SOUTH AVENUE 3	勿洛南3道
BEDOK SOUTH ROAD	勿洛南路
BEDOK TERRACE	勿洛台
BEDOK WALK	勿洛径
Bedok-class Mine Countermeasure Vessel	勿洛级扫雷舰
BEE SAN AVENUE	美山道
BEECHWOOD GROVE	滨木林
Beeling app	“Beeline” 应用程序
Beginning teachers Network	新进教师联系网
BEGONIA CRESCENT	秋海棠弯
BEGONIA DRIVE	秋海棠通道
BEGONIA LANE	秋海棠巷
BEGONIA ROAD	秋海棠路
BEGONIA TERRACE	秋海棠台
BEGONIA WALK	秋海棠径
BELGRAVIA DRIVE	贝阁雅通道
BELILIOS LANE	柏利利奥巷
BELILIOS ROAD	柏利利奥路
BELIMBING AVENUE	百临宾道
BELMONT ROAD	贝蒙路
BELVEDERE CLOSE	贝菲德雅弄
Benchmarking Study	基准研究
BENCOOLEN LINK	明古连连路
Bencoolen MRT Station	明古连地铁站
BENCOOLEN STREET	明古连街 (俗称五马路)
Bendemeer MRT Station	明地迷亚地铁站
BENDEMEER ROAD	明地迷亚路
Bendy Bus	双节巴士
Benefits-in-kind	实物利益
BENG WAN ROAD	明远路
Benign Prostatic Hyperplasia (benign enlargement of prostate gland)	良性前列腺增生（前列腺肿大）
BENJAMIN SHEARES BRIDGE	薛尔思桥
BENOI CRESCENT	贲耐弯
BENOI FLYOVER	贲耐立交桥
BENOI LANE	贲耐巷
BENOI PLACE	贲耐坊
BENOI ROAD	贲耐路
BENOI SECTOR	贲耐段
BEO CRESCENT	庙弯
BERKSHIRE ROAD	柏莎路
BERMUDA ROAD	百慕达路
BERNAM STREET	柏南街
BERRIMA ROAD	柏里玛路
BERWICK DRIVE	百力通道
Best Display Band from the Singapore Youth Festival	新加坡青年节最佳军乐队
Best Home	最美好的家园
Best Practice Award (BPA)	最佳治校奖
Betting Act	投注法令
Betting duty	赌博与彩票税̀
Betting Information Centre (BIC)	赛马赌注中心
Beyond Parental Control (BPC)	不受父母管教
Beyond Words	话中有画
BHAMO ROAD	巴摩路
Bicentennial Bonus	开埠200 周年纪念花红
Bicentennial Community Fund	开埠200 周年纪念社区基金
Bicultural Taskforce	双文化工作小组
BIDADARI PARK DRIVE	碧黛丽园通道
BIDEFORD ROAD	必德福路
Bi-directional BIKES	双向电单车骑士生物认证自动通关系统
BIGGIN HILL ROAD	美仁山路
Big-Hearted Families Awards	爱心家庭奖
BILAL LANE	庇老巷
Bill	法案
Bills of lading	提单
Bills of Sale Act	买卖契约法令
BIN TONG PARK	民东园
BINCHANG RISE	民昌坡
BINCHANG WALK	民昌径
BINJAI HILL	明才山
BINJAI PARK	明才园
BINJAI RISE	明才坡
BINJAI WALK	明才径
Biological-Chemical Defence	生化防卫
BIOMEDICAL GROVE	启研林
Biomedical Standards Committee (BMSC)	生物医学标准委员会
Biometric Identification of Motorbikers System (BIKES)	电单车骑士生物认证自动通关系统
Biometric Passport	生物认证护照
Biometric Systems	生物识别系统
Bionix II Infantry Fighting Vehicles	彼埃欧尼斯二号步兵战车
Biopolis	启奥城
BIOPOLIS DRIVE	启奥通道
BIOPOLIS LINK	启奥连路
BIOPOLIS ROAD	启奥路
BIOPOLIS STREET	启奥街
BIOPOLIS WAY	启奥大道
Bipolar Disorder	躁郁症
BIRCH ROAD	柏芝路
BIRD PARK DRIVE	飞禽公园道
Bishan Community Club	碧山民众俱乐部
BISHAN FLYOVER	碧山立交桥
BISHAN LANE	碧山巷
Bishan MRT Station	碧山地铁站
Bishan North Community Centre	碧山北民众联络所
BISHAN PLACE	碧山坊
Bishan Public Library (BIPL)	碧山公共图书馆
BISHAN ROAD	碧山路
BISHAN STREET 11	碧山11街
BISHAN STREET 12	碧山12街
BISHAN STREET 13	碧山13街
BISHAN STREET 14	碧山14街
BISHAN STREET 15	碧山15街
BISHAN STREET 21	碧山21街
BISHAN STREET 22	碧山22街
BISHAN STREET 23	碧山23街
BISHAN STREET 24	碧山24街
BISHAN STREET 25	碧山25街
Bishan-Toa Payoh GRC	碧山-大巴窑集选区
BISHOPS PLACE	主教坊
BISHOPSGATE	主教门
BISHOPSWALK	主教径
bizSAFE	安全商业环境计划
BLACKMORE DRIVE	布勒克摩通道
BLAIR ROAD	布莱路
BLANDFORD DRIVE	布朗福通道
Blood disorders	血液失调症
BLOXHOME DRIVE	布乐宏通道
Blue Book	蓝皮书
Blue space	蓝色空间
BMTC concept room	基本军训概念室
BO SENG AVENUE	谋盛道
Board of Architects (BOA)	新加坡建筑师理事会
Board of Commissioners of Currency	新加坡货币局
Board of Visiting Justices and Board of Inspection	太平绅士探监委员会及审查委员会
Board of Visitors (BoV)	探访局
Board of Visitors (Drug Rehabilitation Centres and Anti-Inhalant Abuse Centres)	视察委员会（戒毒所及防止滥用挥发剂中心)
Board of Visitors (Women's Charter)	妇女宪章探访局
BOAT QUAY	驳船码头
BODMIN DRIVE	博明通道
Boey Ni Lam Hong	梅汝南堂
Bollards	防撞柱
Bomb Data Centre	炸弹数据中心
Bomb Threat Plan	炸弹威胁处理规程/程序
BOND TERRACE	蒙台
BONHAM STREET	蒙咸街
Boon Keng MRT Station	文庆地铁站
BOON KENG ROAD	文庆路
BOON LAY AVENUE	文礼道
Boon Lay Community Club	文礼民众俱乐部
BOON LAY DRIVE	文礼通道
Boon Lay MRT Station	文礼地铁站
BOON LAY PLACE	文礼坊
BOON LAY WAY	文礼道
BOON LEAT TERRACE	文烈台
BOON TAT LINK	文达连路
BOON TAT STREET	文达街
BOON TECK ROAD	文德路
BOON TIONG ROAD	文忠路
Border & Transport Security	边境与运输保安
Border Defence	边境防卫
BORTHWICK DRIVE	保威通道
BOSCOMBE ROAD	慕士康路
Botanic Gardens MRT Station	植物园地铁站
Boundaries and Survey Maps Act	边界线和测量图法令
BOUNDARY CLOSE	曼德里弄
Boundary Mark	界线指标
BOUNDARY ROAD	曼德里路
BOURNEMOUTH ROAD	波茂士路
BOWMONT GARDENS	慕文花园
Boys' Town	儿童城
Brackish water	半咸水
BRADDELL FLYOVER	布莱德立交桥
Braddell Heights Community Club	布莱德岭民众俱乐部
BRADDELL HILL	布莱德山
Braddell MRT Station	布莱德地铁站
BRADDELL RISE	布莱德坡
BRADDELL ROAD	布莱德路
BRADDELL UNDERPASS	布莱德地下车道
BRAEMAR DRIVE	百里马通道
BRANI AVENUE	布拉尼道
Brani Terminal	布拉尼码头
BRANI TERMINAL AVENUE	布拉尼终站道
BRANI TERMINAL ROAD P	布拉尼终站P路
BRANI TERMINAL ROAD Q	布拉尼终站Q路
BRANI TERMINAL ROAD R	布拉尼终站R路
BRANI TERMINAL ROAD S	布拉尼终站S路
BRANI TERMINAL STREET 10	布拉尼终站10街
BRANI TERMINAL STREET 8	布拉尼终站8街
BRANI TERMINAL STREET 9	布拉尼终站9街
BRANI WAY	布拉尼大道
BRANKSOME ROAD	白兰森路
Bras Basah MRT Station	百胜地铁站
BRAS BASAH ROAD	勿拉士巴沙路
Breach Of Privilege	滥用职权罪
Breach Of Probation	违反假释罪
Breath Test	呼吸检验
Breathalyser	测醉器
BRICKLAND CRESCENT	红砖弯
BRICKLAND RISE	红砖坡
BRICKLAND ROAD	红砖路
Bridging modules	导入单元
Bridging platform	衔接平台
BRIDPORT AVENUE	布里卜道
Brigade second-in-Command of the 13th Singapore Infantry Brigade, Headquarters Guards	第13步兵旅副旅长
Brigadier-General/Rear Admiral (1 Star) (BG / RADM)	准将/海军少将(一星)
BRIGHT HILL CRESCENT	光明山弯
BRIGHT HILL DRIVE	光明山通道
BRIGHT HILL ROAD	光明山路
BRIGHTON AVENUE	布莱顿道
BRIGHTON CRESCENT	布莱顿弯
Bringing Quality Arts to All	把优质的艺术呈现给大家
BRISTOL ROAD	布里斯托路
BRIZAY PARK	布里赛园
Broadcast, Publications & Arts Appeal Committee (BPAAC)	广播、刊物与艺术上诉委员会
BROADRICK CLOSE	普洛力弄
BROADRICK ROAD	普洛力路
BROCKHAMPTON DRIVE	布洛汉顿通道
BROMPTON ROAD	普朗顿路
Bronco All Terrain Tracked Carrier	骏马全地形双厢履带式运输车
BROOKE ROAD	布鲁克路
BROOKVALE DRIVE	布鲁克维通道
BROOKVALE WALK	布鲁克维径
BUANGKOK BRIDGE	万国桥
BUANGKOK CRESCENT	万国弯
BUANGKOK DRIVE	万国通道
BUANGKOK EAST DRIVE	万国东通道
BUANGKOK FLYOVER	万国立交桥
BUANGKOK GREEN	万国埔
BUANGKOK LINK	万国连路
Buangkok MRT Station	万国地铁站
BUANGKOK VIEW	万国景
BUCKLEY ROAD	巴克里路
Budget	预算
Budget Book	预算书
Budget Statement	财政预算声明
BUFFALO ROAD	巴弗罗路
Bugis MRT Station	武吉士地铁站
Build strong digital capabilities	发展强大的数码能力
Buildability score	易建设计指数
Buildable design	易建设计
Building a Loving SG	打造爱心狮城
Building A Strong, United Singapore	建立强盛、团结的新加坡
Building and Construction Authority (BCA)	新加坡建设局 (建设局)
Building and Construction Standards Committee (BCSC)	建筑与建设标准委员会
Building Capability for Family Matters	家庭为本！家庭教育专业提升计划
Building Control (Retrofitting of Casement Window) Order	建筑管制(外开式窗户维修)令
Building Management System	建筑管理系统
Building our Future, Strengthening Social Security	共创美好未来加强社会保障
Building Plan	建筑设计图
Building Premium	建筑费
Building Research Institute	建设研发署
Building Retrofit Energy Efficiency Financing Scheme (BREEF)	建筑能效改造融资计划
Building Trust in Singapore Products & Services	建立新加坡产品和服务的信誉
Build-To-Order flats (BTO)	预购组屋
Built Environment	建筑与环境产业群
BUKIT ARANG ROAD	武吉阿兰路
BUKIT AYER MOLEK	武吉亚逸慕礼
Bukit Batok	武吉巴督
BUKIT BATOK AVENUE 1	武吉巴督1道
BUKIT BATOK CENTRAL	武吉巴督中路
BUKIT BATOK CENTRAL LINK	武吉巴督中连路
Bukit Batok Community Club	武吉巴督民众俱乐部
BUKIT BATOK CRESCENT	武吉巴督弯
BUKIT BATOK EAST AVENUE 2	武吉巴督东2道
BUKIT BATOK EAST AVENUE 3	武吉巴督东3道
BUKIT BATOK EAST AVENUE 4	武吉巴督东4道
BUKIT BATOK EAST AVENUE 5	武吉巴督东5道
BUKIT BATOK EAST AVENUE 6	武吉巴督东6道
Bukit Batok East Community Club	武吉巴督东民众俱乐部
BUKIT BATOK FLYOVER	武吉巴督立交桥
BUKIT BATOK INDUSTRIAL PARK A	武吉巴督A工业区
Bukit Batok MRT Station	武吉巴督地铁站
Bukit Batok Public Library (BBPL)	武吉巴督公共图书馆
BUKIT BATOK ROAD	武吉巴督路
BUKIT BATOK STREET 11	武吉巴督11街
BUKIT BATOK STREET 21	武吉巴督21街
BUKIT BATOK STREET 22	武吉巴督22街
BUKIT BATOK STREET 23	武吉巴督23街
BUKIT BATOK STREET 24	武吉巴督24街
BUKIT BATOK STREET 25	武吉巴督25街
BUKIT BATOK STREET 31	武吉巴督31街
BUKIT BATOK STREET 32	武吉巴督32街
BUKIT BATOK STREET 33	武吉巴督33街
BUKIT BATOK STREET 34	武吉巴督34街
BUKIT BATOK STREET 41	武吉巴督41街
BUKIT BATOK STREET 51	武吉巴督51街
BUKIT BATOK STREET 52	武吉巴督52街
BUKIT BATOK WEST AVENUE 2	武吉巴督西2道
BUKIT BATOK WEST AVENUE 3	武吉巴督西3道
BUKIT BATOK WEST AVENUE 4	武吉巴督西4道
BUKIT BATOK WEST AVENUE 5	武吉巴督西5道
BUKIT BATOK WEST AVENUE 6	武吉巴督西6道
BUKIT BATOK WEST AVENUE 7	武吉巴督西7道
BUKIT BATOK WEST AVENUE 8	武吉巴督西8道
BUKIT BATOK WEST AVENUE 9	武吉巴督西9道
BUKIT CHERMIN ROAD	武吉慈明路
BUKIT DRIVE	武吉通道
Bukit Gombak MRT Station	武吉甘柏地铁站
BUKIT HO SWEE CRESCENT	河水山弯
BUKIT HO SWEE LINK	河水山连路
BUKIT MANIS ROAD	武吉玛尼士路
BUKIT MERAH CENTRAL	红山中路
Bukit Merah Community Centre	红山民众联络所
BUKIT MERAH FLYOVER	红山立交桥
BUKIT MERAH LANE 1	红山1巷
BUKIT MERAH LANE 2	红山2巷
BUKIT MERAH LANE 3	红山3巷
BUKIT MERAH LANE 4	红山4巷
Bukit Merah Public Library (BMPL)	红山公共图书馆
BUKIT MERAH VIEW	红山景
BUKIT MUGLISTON	武吉莫利士顿
Bukit Panjang	武吉班让
Bukit Panjang Camp	武吉班让军营
Bukit Panjang Community Club	武吉班让民众俱乐部
BUKIT PANJANG FLYOVER	武吉班让立交桥
Bukit Panjang Khek Community Guild	武吉班让客属公会
BUKIT PANJANG LINK	武吉班让连路
Bukit Panjang LRT	武吉班让轻轨列车
Bukit Panjang LRT Station	武吉班让轻轨列车站
Bukit Panjang MRT Station	武吉班让地铁站
Bukit Panjang Public Library (BPPL)	武吉班让公共图书馆
BUKIT PANJANG RING ROAD	武吉班让环路
BUKIT PANJANG ROAD	武吉班让路
BUKIT PASOH ROAD	武吉巴梳路
BUKIT PURMEI	武吉宝美
BUKIT PURMEI AVENUE	武吉宝美道
BUKIT PURMEI ROAD	武吉宝美路
BUKIT SEDAP ROAD	武吉思达路
BUKIT TERESA CLOSE	武吉德莉莎弄
BUKIT TERESA ROAD	武吉德莉莎路
BUKIT TIMAH AVENUE	武吉知马道
Bukit Timah Community Club	武吉知马民众俱乐部
BUKIT TIMAH EXPRESSWAY	武吉知马快速公路
BUKIT TIMAH LINK	武吉知马连路
Bukit Timah Nature Reserve	武吉知马自然保护区
BUKIT TIMAH ROAD	武吉知马路
BUKIT TIMAH SEVEN MILE FLYOVER	武吉知马七条石立交桥
BUKIT TIMAH UNDERPASS	武吉知马地下车道
BUKIT TINGGI ROAD	武吉丁奇路
BUKIT TUNGGAL ROAD	武吉东卡路
BUKIT WAY	武吉大道
BULIM AVENUE	武林道
BULIM DRIVE	武林通道
BULIM STREET	武林街
BUNGA RAMPAI PLACE	文雅南派坊
Bunker Convention Certificate	燃油公约证书
Buona Vista Community Club	波那维斯达民众俱乐部
BUONA VISTA FLYOVER	波那维斯达立交桥
Buona Vista MRT Station	波那维斯达地铁站
BURGHLEY DRIVE	柏格礼通道
BURGUNDY CRESCENT	柏雅丽弯
BURGUNDY DRIVE	柏雅丽通道
BURGUNDY RISE	柏雅丽坡
BURMAH ROAD	缅甸路
BURN ROAD	贝恩路
BURNFOOT TERRACE	贝恩弗台
BUROH CRESCENT	布罗弯
BUROH DRIVE	布罗通道
BUROH FLYOVER	布罗立交桥
BUROH LANE	布罗巷
BUROH STREET	布罗街
BURY ROAD	贝礼路
Bus Bay	巴士站弯道
Bus Contracting Model	巴士路线外包模式
Bus Hub	“加长型”巴士站
Bus Lanes	巴士专用车道
Bus Service Enhancement Programme (BSEP)	改善巴士服务计划
Bus Service Reliability Framework	巴士服务可靠度框架
Business and IPC Partnership Scheme (BIPS)	企业与公益机构合作计划
Business Continuity Management	业务持续性管理
Business Continuity Plan (BCP)	业务持续性规划
Business Excellence Award	优异业务奖
Business Excellence Initiative	优异业务计划
Business Excellence Mentoring Programme	优异业务指导计划
Business Expectations Survey for the Services Sector (BES)	服务业业务展望调查
Business Grants Portal	企业津贴网
BUSINESS LINK	商学连路
Business of Supply	拨款事宜
Business Park	商业园
BUSINESS PARK DRIVE	商业园通道
Business Receipts Index for the Services Sector (BRI)	服务业业务收益指数
Business registration	商业登记
Business Visa	商务签证
Businesses for Families Conference	亲家庭企业大会
Businesses for Families Mark (BFC Mark)	亲家庭企业标志
Businesses for Families Pledge (BFC Pledge)	亲家庭企业信约
Busking Scheme	街头卖艺计划
BUSSORAH STREET	巴梭拉街
BUTTERFLY AVENUE	百快道
BUTTERWORTH LANE	巴特卫巷
Button Badges	钮扣型徽章
BUYONG ROAD	芙蓉路
By-Election (BE)	补选
C130 Hercules	C130型大力神运输机
C2E Council EXCO	社区紧急应策与参与政务执行委员会
Cabinet	内阁
CABLE ROAD	开宝路
CACTUS CRESCENT	仙人掌弯
CACTUS DRIVE	仙人掌通道
CACTUS ROAD	仙人掌路
Cadastral Map	地籍地图
Cadastral plan	地籍图
Cadastral Survey	地籍测量
CAIRNHILL CIRCLE	经禧圈
Cairnhill Community Club	经禧民众俱乐部
